date,cityid,gps_retail_and_recreation,gps_grocery_and_pharmacy,gps_parks,gps_transit_stations,gps_workplaces,gps_residential,gps_away_from_home
2020-2-26,Atlanta,0.0171,-0.0257,0.0614,0.0157,0.0071400000000000005,0.00286,-0.00109
2020-2-26,Kansas City,0.0686,0.0171,0.114,0.0471,0.0586,-0.01,0.0136
2020-2-26,Miami,0.01,-0.00143,0.00714,-0.00714,0.02,0.0,-3.16e-08
2020-2-26,Raleigh,-0.0286,-0.0471,0.0786,0.0229,-0.0357,0.0271,-0.026000000000000002
2020-2-26,Omaha,0.0814,0.0771,0.326,0.0457,0.0286,-0.0114,0.0169
2020-2-26,Oakland,0.0143,0.0186,0.171,0.0314,0.0271,-0.00571,0.008409999999999999
2020-2-26,Minneapolis,0.0429,0.0186,0.106,0.0786,0.0214,-0.00857,0.013000000000000001
2020-2-26,Tampa,0.0271,0.00857,0.0286,0.0429,0.02,0.0,0.00162
2020-2-26,New Orleans,0.473,0.44299999999999995,0.589,1.08,-0.17600000000000002,0.0129,-0.0038
2020-2-26,Wichita,0.05,0.00286,-0.0357,0.00571,0.02,0.0,-8.83e-05
2020-2-26,Cleveland,0.0414,-0.00571,0.287,0.0586,0.0257,-0.00571,0.00992
2020-2-26,Bakersfield,0.0614,0.0114,0.249,0.0386,0.0114,-0.00143,0.002
2020-2-26,Honolulu,0.0143,0.00571,0.0871,0.00714,0.0143,0.0,0.00137
2020-2-26,Boise,0.0629,0.0671,0.409,0.0457,0.0243,-0.01,0.0129
2020-2-26,Salt Lake City,0.0786,0.0929,0.206,0.0471,0.0329,-0.0071400000000000005,0.00898
2020-2-26,Virginia Beach,0.01,-0.00571,0.0614,-0.00571,0.0071400000000000005,0.0129,-0.0109
2020-2-26,Colorado Springs,0.0114,-0.00143,-0.173,-0.00429,0.0171,0.00286,-0.007240000000000001
2020-2-26,Tulsa,0.03,0.00857,-0.0257,0.0529,0.0186,0.00143,-0.0021899999999999997
2020-2-27,Los Angeles,0.0186,0.00571,0.0757,0.00714,0.0243,-0.0042899999999999995,0.0036200000000000004
2020-2-27,New York City,0.0198,-0.0155,0.117,-0.00148,0.0167,0.00234,0.000434
2020-2-27,Chicago,0.04,0.0286,0.266,0.0229,0.0214,-0.00571,0.0117
2020-2-27,Houston,0.0557,0.01,0.0829,0.0143,0.0271,-0.0071400000000000005,0.00828
2020-2-27,Phoenix,0.0529,0.00143,0.0371,0.0571,0.0129,0.0,-0.00157
