date,cityid,emp_combined,emp_combined_inclow,emp_combined_incmiddle,emp_combined_inchigh
2020-1-22,9,0.00579,-0.0215,0.00863,0.00362
2020-1-22,10,0.00493,0.00904,0.00539,-0.000367
2020-1-22,11,0.00112,0.00106,0.00263,-0.0024
2020-1-22,12,0.00597,0.00838,0.00791,0.00355
2020-1-22,13,0.00551,.,.,0.00379
2020-1-22,14,0.00094,0.00809,.,-0.0026
2020-1-22,15,0.00222,0.00436,.,0.000594
2020-1-22,16,0.00784,0.00767,.,-0.00251
2020-1-22,17,0.000344,0.000728,0.00316,-0.00557
2020-1-22,18,0.00601,-0.000783,0.00899,0.00638
2020-1-22,19,0.000504,0.0079,0.00357,.
2020-1-22,20,0.0052,0.00461,0.0079,.
2020-1-22,21,0.00395,-0.00431,0.00349,0.00474
2020-1-22,22,0.00754,0.00146,.,.
2020-1-22,23,.,.,.,.
2020-1-22,24,0.003,.,0.00555,-0.00127
2020-1-22,25,0.00302,0.00193,0.00358,0.00271
2020-1-22,26,0.00403,0.00865,0.00186,.
2020-1-22,27,0.00122,.,0.000327,0.00642
2020-1-22,28,0.00138,.,.,-0.00162
2020-1-22,29,0.00325,0.00136,0.00525,0.00159
2020-1-22,30,0.00156,0.00107,0.00336,-0.00182
2020-1-22,31,0.00324,0.00327,0.00388,0.00176
2020-1-22,32,0.00785,.,0.00538,-0.0000193
2020-1-22,33,0.00358,0.000255,0.00906,-0.00796
2020-1-22,34,0.00631,-0.00592,.,-0.000889
2020-1-22,35,0.00381,-0.015,0.00809,0.00338
2020-1-22,36,0.000815,0.00459,0.0013,-0.00216
2020-1-22,37,0.0000411,.,0.0011,-0.00575
2020-1-22,38,0.00451,-0.00088,0.00936,0.00126
2020-1-22,39,0.0055,.,0.00963,0.000405
2020-1-22,40,-0.00305,0.000415,.,-0.00244
2020-1-22,41,0.00429,0.00536,0.00505,0.00295
2020-1-22,42,0.00188,0.00441,0.00459,-0.00338
2020-1-22,43,0.0023,0.000393,0.00082,0.00688
2020-1-22,44,-0.000288,0.00128,0.00121,-0.00621
2020-1-22,45,-0.000262,.,.,.
2020-1-22,46,-0.00174,.,0.00199,-0.00313
2020-1-22,47,0.0076,-0.00488,0.0132,0.00392
2020-1-22,48,0.0218,.,.,.
2020-1-22,49,0.00627,0.009,.,.
2020-1-22,50,0.00553,0.0108,0.0037,0.00341
2020-1-22,51,.,.,.,.
2020-1-22,52,0.00477,.,0.00988,0.000548
2020-1-22,53,-0.000399,0.00298,-0.000639,-0.00324
2020-1-23,1,0.00543,-0.00526,0.00756,0.00425
2020-1-23,2,0.00454,0.00643,0.0034,0.00576
2020-1-23,3,0.00364,0.00767,0.0035,0.00136
2020-1-23,4,0.00599,.,0.00935,0.00237
2020-1-23,5,0.000213,-0.00355,0.00277,-0.00189
2020-1-23,6,0.00549,-0.0123,0.0111,0.00407
