date,cityid,initclaims_count_regular,initclaims_rate_regular
2020-5-23,Philadelphia,4572,0.633
2020-5-23,Columbus,4788,0.686
2020-5-23,Indianapolis,5240,1.06
2020-5-23,San Francisco,4304,0.738
2020-5-23,Baltimore,5745,1.98
2020-5-23,Louisville,7490,1.86
2020-5-23,Denver,2186,0.519
2020-5-23,Washington,5135,1.25
2020-5-23,Milwaukee,5827,1.25
2020-5-23,Tucson,1589,0.319
2020-5-23,Fresno,6143,1.36
2020-5-23,Sacramento,7967,1.12
2020-5-23,Atlanta,21464,3.85
2020-5-23,Kansas City,2438,0.671
2020-5-23,Omaha,1831,0.611
2020-5-23,Oakland,8259,0.978
2020-5-23,Cleveland,5013,0.816
2020-5-23,Bakersfield,5356,1.37
2020-5-23,Honolulu,5851,1.3
2020-5-23,Boise,719,0.283
2020-5-23,Colorado Springs,1526,0.445
2020-5-30,Los Angeles,65344,1.28
2020-5-30,New York City,43703,1.1
2020-5-30,Chicago,19681,0.758
2020-5-30,Phoenix,6447,0.279
2020-5-30,San Diego,19827,1.25
2020-5-30,Las Vegas,11571,1.02
2020-5-30,Seattle,8974,0.695
2020-5-30,San Jose,9462,0.898
2020-5-30,Philadelphia,3736,0.517
2020-5-30,Columbus,4071,0.584
2020-5-30,Indianapolis,4572,0.927
2020-5-30,San Francisco,4842,0.83
2020-5-30,Baltimore,5345,1.84
2020-5-30,Louisville,5995,1.49
2020-5-30,Denver,1730,0.411
2020-5-30,Washington,3559,0.868
2020-5-30,Milwaukee,4739,1.01
2020-5-30,Tucson,1346,0.27
2020-5-30,Fresno,6910,1.53
2020-5-30,Sacramento,8961,1.26
2020-5-30,Atlanta,19346,3.47
2020-5-30,Kansas City,2107,0.58
2020-5-30,Omaha,1715,0.572
2020-5-30,Oakland,9290,1.1
2020-5-30,Cleveland,4087,0.665
2020-5-30,Bakersfield,6024,1.54
2020-5-30,Honolulu,4830,1.07
2020-5-30,Boise,575,0.226
2020-5-30,Colorado Springs,1307,0.381
2020-6-6,Los Angeles,73119,1.43
2020-6-6,New York City,48362,1.21
2020-6-6,Chicago,18926,0.729
2020-6-6,Phoenix,6863,0.297
2020-6-6,San Diego,22186,1.39
2020-6-6,Las Vegas,10816,0.956
2020-6-6,Seattle,8725,0.676
2020-6-6,San Jose,10587,1
2020-6-6,Philadelphia,4270,0.591
2020-6-6,Columbus,4074,0.584
2020-6-6,Indianapolis,4650,0.943
2020-6-6,San Francisco,5418,0.929
2020-6-6,Baltimore,7240,2.49
2020-6-6,Louisville,5677,1.41
2020-6-6,Denver,1961,0.465
2020-6-6,Washington,3385,0.826
2020-6-6,Milwaukee,4697,1.01
2020-6-6,Tucson,1444,0.29
2020-6-6,Fresno,7732,1.72
2020-6-6,Sacramento,10027,1.41
2020-6-6,Atlanta,17542,3.15
2020-6-6,Kansas City,2093,0.576
2020-6-6,Omaha,1510,0.504
2020-6-6,Oakland,10395,1.23
2020-6-6,Cleveland,4834,0.787
2020-6-6,Bakersfield,6741,1.72
2020-6-6,Honolulu,4683,1.04
2020-6-6,Boise,572,0.225
2020-6-6,Colorado Springs,1557,0.454
2020-6-13,Los Angeles,80581,1.57
2020-6-13,New York City,50013,1.25
2020-6-13,Chicago,23794,0.917
2020-6-13,Phoenix,6606,0.286
2020-6-13,San Diego,24026,1.51
2020-6-13,Las Vegas,11680,1.03
2020-6-13,Seattle,8753,0.678
2020-6-13,San Jose,10605,1.01
2020-6-13,Philadelphia,5251,0.727
2020-6-13,Columbus,3937,0.564
2020-6-13,Indianapolis,5308,1.08
2020-6-13,San Francisco,5483,0.94
2020-6-13,Baltimore,9424,3.24
2020-6-13,Louisville,12191,3.03
2020-6-13,Denver,1615,0.383
2020-6-13,Washington,3065,0.748
2020-6-13,Milwaukee,4934,1.06
2020-6-13,Tucson,1272,0.255
2020-6-13,Fresno,8395,1.86
2020-6-13,Sacramento,10822,1.52
2020-6-13,Atlanta,23795,4.27
2020-6-13,Kansas City,2089,0.575
2020-6-13,Omaha,1570,0.524
2020-6-13,Oakland,10557,1.25
2020-6-13,Cleveland,4838,0.787
2020-6-13,Bakersfield,8079,2.07
2020-6-13,Honolulu,4555,1.01
2020-6-13,Boise,570,0.224
2020-6-13,Colorado Springs,1052,0.307
2020-6-20,Los Angeles,94957,1.85
2020-6-20,New York City,44785,1.12
2020-6-20,Chicago,24636,0.949
2020-6-20,Phoenix,7542,0.326
2020-6-20,San Diego,28312,1.78
2020-6-20,Las Vegas,10861,0.96
2020-6-20,Seattle,8752,0.678
2020-6-20,San Jose,12497,1.19
2020-6-20,Philadelphia,4509,0.624
2020-6-20,Columbus,3955,0.567
2020-6-20,Indianapolis,6507,1.32
2020-6-20,San Francisco,6461,1.11
2020-6-20,Baltimore,6094,2.1
2020-6-20,Louisville,8045,2
2020-6-20,Denver,1549,0.368
2020-6-20,Washington,3073,0.75
2020-6-20,Milwaukee,4759,1.02
2020-6-20,Tucson,1481,0.297
2020-6-20,Fresno,9893,2.19
2020-6-20,Sacramento,12753,1.79
2020-6-20,Atlanta,22665,4.07
2020-6-20,Kansas City,1966,0.541
2020-6-20,Omaha,1428,0.477
2020-6-20,Oakland,12440,1.47
2020-6-20,Cleveland,5057,0.823
2020-6-20,Bakersfield,9520,2.43
2020-6-20,Honolulu,4352,0.966
2020-6-20,Boise,725,0.285
2020-6-20,Colorado Springs,1042,0.304
2020-6-27,Los Angeles,92576,1.81
2020-6-27,New York City,43868,1.1
2020-6-27,Chicago,24357,0.939
2020-6-27,Phoenix,7175,0.311
2020-6-27,San Diego,27602,1.74
2020-6-27,Las Vegas,10979,0.97
2020-6-27,Seattle,9179,0.711
2020-6-27,San Jose,12184,1.16
2020-6-27,Philadelphia,4793,0.664
2020-6-27,Columbus,3983,0.571
2020-6-27,Indianapolis,11115,2.25
2020-6-27,San Francisco,6299,1.08
2020-6-27,Baltimore,5677,1.95
2020-6-27,Louisville,9921,2.46
2020-6-27,Denver,1393,0.331
2020-6-27,Washington,3132,0.764
2020-6-27,Milwaukee,4537,0.972
2020-6-27,Tucson,1451,0.291
2020-6-27,Fresno,9645,2.14
2020-6-27,Sacramento,12433,1.75
2020-6-27,Atlanta,21179,3.8
2020-6-27,Kansas City,2252,0.619
2020-6-27,Omaha,1347,0.45
2020-6-27,Oakland,12128,1.44
2020-6-27,Cleveland,4992,0.812
2020-6-27,Bakersfield,9281,2.37
2020-6-27,Honolulu,5090,1.13
2020-6-27,Boise,1001,0.394
2020-6-27,Colorado Springs,978,0.285
2020-7-4,Los Angeles,88380,1.73
2020-7-4,New York City,48261,1.22
2020-7-4,Chicago,20771,0.8
2020-7-4,Phoenix,6645,0.288
2020-7-4,San Diego,26351,1.66
2020-7-4,Las Vegas,11386,1.01
2020-7-4,Seattle,7945,0.616
2020-7-4,San Jose,11631,1.1
2020-7-4,Philadelphia,3905,0.541
2020-7-4,Columbus,3554,0.509
2020-7-4,Indianapolis,4633,0.94
2020-7-4,San Francisco,6013,1.03
2020-7-4,Baltimore,6243,2.15
2020-7-4,Louisville,7538,1.87
2020-7-4,Denver,1595,0.379
2020-7-4,Washington,2858,0.697
2020-7-4,Milwaukee,5270,1.13
2020-7-4,Tucson,1453,0.291
2020-7-4,Fresno,9208,2.04
2020-7-4,Sacramento,11870,1.67
2020-7-4,Atlanta,18957,3.4
2020-7-4,Kansas City,2123,0.584
2020-7-4,Omaha,1779,0.594
2020-7-4,Oakland,11579,1.37
2020-7-4,Cleveland,4237,0.689
