date,cityid,case_count,death_count,case_rate,death_rate,new_case_rate,new_death_rate,new_case_count,new_death_count
2020-1-25,Oakland,0,0,0.0,0.0,.,.,.,.
2020-1-25,Minneapolis,0,0,0.0,0.0,.,.,.,.
2020-1-25,Tampa,0,0,0.0,0.0,.,.,.,.
2020-1-25,New Orleans,0,0,0.0,0.0,.,.,.,.
2020-1-25,Wichita,0,0,0.0,0.0,.,.,.,.
2020-1-25,Cleveland,0,0,0.0,0.0,.,.,.,.
2020-1-25,Bakersfield,0,0,0.0,0.0,.,.,.,.
2020-1-25,Honolulu,0,0,0.0,0.0,.,.,.,.
2020-1-25,Boise,0,0,0.0,0.0,.,.,.,.
2020-1-25,Salt Lake City,0,0,0.0,0.0,.,.,.,.
2020-1-25,Virginia Beach,0,0,0.0,0.0,.,.,.,.
2020-1-25,Colorado Springs,0,0,0.0,0.0,.,.,.,.
2020-1-25,Tulsa,0,0,0.0,0.0,.,.,.,.
2020-1-26,Los Angeles,1,0,0.00996,0.0,.,.,.,.
2020-1-26,New York City,0,0,0.0,0.0,.,.,.,.
2020-1-26,Chicago,1,0,0.0194,0.0,.,.,.,.
2020-1-26,Houston,0,0,0.0,0.0,.,.,.,.
2020-1-26,Phoenix,1,0,0.0223,0.0,.,.,.,.
2020-1-26,San Diego,0,0,0.0,0.0,.,.,.,.
2020-1-26,Dallas,0,0,0.0,0.0,.,.,.,.
2020-1-26,Las Vegas,0,0,0.0,0.0,.,.,.,.
2020-1-26,Seattle,0,0,0.0,0.0,.,.,.,.
2020-1-26,Fort Worth,0,0,0.0,0.0,.,.,.,.
2020-1-26,San Antonio,0,0,0.0,0.0,.,.,.,.
2020-1-26,San Jose,0,0,0.0,0.0,.,.,.,.
2020-1-26,Detroit,0,0,0.0,0.0,.,.,.,.
2020-1-26,Philadelphia,0,0,0.0,0.0,.,.,.,.
2020-1-26,Columbus,0,0,0.0,0.0,.,.,.,.
2020-1-26,Austin,0,0,0.0,0.0,.,.,.,.
2020-1-26,Charlotte,0,0,0.0,0.0,.,.,.,.
2020-1-26,Indianapolis,0,0,0.0,0.0,.,.,.,.
2020-1-26,Jacksonville,0,0,0.0,0.0,.,.,.,.
2020-1-26,Memphis,0,0,0.0,0.0,.,.,.,.
2020-1-26,San Francisco,0,0,0.0,0.0,.,.,.,.
2020-1-26,El Paso,0,0,0.0,0.0,.,.,.,.
2020-1-26,Baltimore,0,0,0.0,0.0,.,.,.,.
2020-1-26,Portland,0,0,0.0,0.0,.,.,.,.
2020-1-26,Boston,0,0,0.0,0.0,.,.,.,.
2020-1-26,Oklahoma City,0,0,0.0,0.0,.,.,.,.
2020-1-26,Louisville,0,0,0.0,0.0,.,.,.,.
2020-1-26,Denver,0,0,0.0,0.0,.,.,.,.
2020-1-26,Washington,0,0,0.0,0.0,.,.,.,.
2020-1-26,Nashville,0,0,0.0,0.0,.,.,.,.
2020-1-26,Milwaukee,0,0,0.0,0.0,.,.,.,.
2020-1-26,Albuquerque,0,0,0.0,0.0,.,.,.,.
2020-1-26,Tucson,0,0,0.0,0.0,.,.,.,.
2020-1-26,Fresno,0,0,0.0,0.0,.,.,.,.
2020-1-26,Sacramento,0,0,0.0,0.0,.,.,.,.
2020-1-26,Atlanta,0,0,0.0,0.0,.,.,.,.
2020-1-26,Kansas City,0,0,0.0,0.0,.,.,.,.
2020-1-26,Miami,0,0,0.0,0.0,.,.,.,.
2020-1-26,Raleigh,0,0,0.0,0.0,.,.,.,.
2020-1-26,Omaha,0,0,0.0,0.0,.,.,.,.
2020-1-26,Oakland,0,0,0.0,0.0,.,.,.,.
2020-1-26,Minneapolis,0,0,0.0,0.0,.,.,.,.
2020-1-26,Tampa,0,0,0.0,0.0,.,.,.,.
2020-1-26,New Orleans,0,0,0.0,0.0,.,.,.,.
2020-1-26,Wichita,0,0,0.0,0.0,.,.,.,.
2020-1-26,Cleveland,0,0,0.0,0.0,.,.,.,.
2020-1-26,Bakersfield,0,0,0.0,0.0,.,.,.,.
2020-1-26,Honolulu,0,0,0.0,0.0,.,.,.,.
2020-1-26,Boise,0,0,0.0,0.0,.,.,.,.
2020-1-26,Salt Lake City,0,0,0.0,0.0,.,.,.,.
2020-1-26,Virginia Beach,0,0,0.0,0.0,.,.,.,.
2020-1-26,Colorado Springs,0,0,0.0,0.0,.,.,.,.
2020-1-26,Tulsa,0,0,0.0,0.0,.,.,.,.
