date,cityid,merchants_all,merchants_ss40,merchants_ss60,merchants_ss65,merchants_ss70
2020-1-12,Houston,-0.0080399998,0.00105,-0.00296,0.0014900001,-0.0014199999999999998
2020-1-12,Phoenix,0.0115,0.022700001,-0.0051199999,0.0138,0.00911
2020-1-12,San Diego,-0.00021499999,0.0073000002,-0.00514,0.0111,-0.0076899999
2020-1-12,Dallas,0.00121,-0.0035999999,0.0094100004,0.0106,0.0068199998
2020-1-12,Las Vegas,-0.0033499999,-0.0041899998,-0.0197,-0.0044100001,-0.0070400001
2020-1-12,Seattle,0.022700001,0.0106,0.046500001,0.030300001,0.0144
2020-1-12,Fort Worth,0.0098299999,0.009820000300000001,0.037300002,-0.0075300001,0.0098700002
2020-1-12,San Antonio,0.00080600003,-0.0080000004,-0.0175,0.0198,0.0054899999
2020-1-12,San Jose,-0.0035600001000000003,0.0080599999,-0.0139,0.0058400002,-0.0038999999
2020-1-12,Detroit,-0.0076700002,0.00266,-0.09210000199999999,-0.033500001,-0.0052899997999999995
2020-1-12,Philadelphia,-0.0139,-0.020199999,0.0403,-0.0010400000000000001,-0.0218
2020-1-12,Columbus,-0.0062299999,-0.0029899999,0.00502,-0.0042300001,0.00088900002
2020-1-12,Austin,-0.0040699998,-0.0154,0.0176,-0.0167,0.0096100001
2020-1-12,Charlotte,0.0054600001,0.0053099999,-0.0057700002,0.0071399999,-0.00083799998
2020-1-12,Indianapolis,-0.0135,0.0039300001,-0.027000001000000003,-0.04410000099999999,-0.0062000002
2020-1-12,Jacksonville,0.0039499997999999995,0.0030799999,-0.0209,0.0066,-0.024599998999999997
2020-1-12,Memphis,0.00099299999,0.00309,-0.0513,-0.0108,-0.0108
2020-1-12,San Francisco,0.0112,0.0070799999,0.042800002000000004,-0.00161,0.00856
2020-1-12,El Paso,-0.00581,-0.0124,-0.023700001000000002,0.0050100000000000006,0.005379999999999999
2020-1-12,Baltimore,-0.0123,-0.0138,0.031199999,-0.00233,-0.0275
2020-1-12,Portland,0.0086700004,0.0058200001,0.0207,0.0045799999,0.0308
2020-1-12,Boston,-0.00132,-0.0052999998,0.0139,0.039799998999999996,-0.0009640000099999999
2020-1-12,Oklahoma City,0.0070099998,-0.0008430000199999999,0.0513,0.0164,-0.00251
2020-1-12,Louisville,0.015799999,0.0015,0.0044999998,0.013000000000000001,0.0162
2020-1-12,Denver,0.0048699998,-0.007899999599999999,0.0045699999,0.0046999999,0.00339
2020-1-12,Washington,-0.0255,-0.019200001,-0.075199999,-0.037599999,-0.042800002000000004
2020-1-12,Nashville,0.013000000000000001,0.016899999,0.016000001,0.00655,0.0099999998
2020-1-12,Milwaukee,-0.047600000999999996,-0.0438,-0.0403,-0.077799998,-0.032499999
2020-1-12,Albuquerque,0.0123,0.0255,0.024599998999999997,0.0132,-0.0099999998
2020-1-12,Tucson,-0.0025500001000000002,-0.0069900001,0.0116,0.024499998999999998,-0.021
2020-1-12,Fresno,0.009429999599999999,-0.0042400002,0.0273,0.024800001000000002,0.0041299998
2020-1-12,Sacramento,0.0153,0.017000001,-0.021600001,0.017100001,-0.0028899998999999997
2020-1-12,Atlanta,-0.0076600001,-0.0052999998,0.00296,-0.0231,-0.00997
2020-1-12,Kansas City,-0.0015300000000000001,0.00011499999999999999,-0.0254,-0.015900001,0.0055200001
2020-1-12,Miami,-0.0082299998,-0.0078600002,-0.0117,-0.0105,-0.015799999
2020-1-12,Raleigh,0.0090199998,-0.0075599998,0.016899999,0.0043299999,-0.00179
2020-1-12,Omaha,-0.0104,-0.017999999,-0.0076000001000000005,-0.0067799999,-0.023800001
2020-1-12,Oakland,0.0022,0.0124,0.0187,0.0151,-0.00235
2020-1-12,Minneapolis,-0.0132,-0.0287,-0.048900001,0.0014199999999999998,-0.021400001000000002
2020-1-12,Tampa,0.0079399999,0.0209,-0.0165,-0.005419999799999999,-0.0093200002
2020-1-12,New Orleans,-0.0086300001,0.011000000000000001,-0.037099997999999995,0.0352,-0.0309
2020-1-12,Wichita,0.0067199999,-0.0222,0.037500001,0.0056400001000000005,0.0277
